customer_id,donation_id,donation_date,donation_end_date,donation_amount,product,channel_pay
1233994,12610228.3,2024-08-29,2024-08-29,10.0,Membership,Bank Transfer
4752194,12805273.3,2025-08-18,2025-08-18,10.0,Membership,Bank Transfer
9739404,12599365.3,2024-08-13,2024-08-15,10.0,Membership,Bank Transfer
8366504,12711040.3,2024-12-21,2024-12-21,10.0,Membership,Bank Transfer
5471504,12650952.3,2024-10-26,2024-10-26,10.0,Membership,Bank Transfer
748304,12670461.3,2024-11-28,2024-11-28,10.0,Membership,Bank Transfer
5885694,12789423.3,2025-07-10,2025-07-11,10.0,Membership,Bank Transfer
3733804,12758870.3,2025-03-30,2025-03-30,10.0,Membership,Bank Transfer
313804,12809557.3,2025-08-19,2025-08-19,10.0,Membership,Bank Transfer
3152994,12519949.3,2024-02-28,2024-02-28,10.0,Membership,Bank Transfer
7935304,12699437.3,2024-12-12,,10.0,General_Donation,Bank Transfer
6862994,12810214.3,2025-08-20,2025-08-20,10.0,Membership,Bank Transfer
1121704,12802803.3,2025-08-14,2025-08-14,10.0,Membership,Bank Transfer
2472804,12753935.3,2025-03-23,2025-03-23,10.0,Membership,Bank Transfer
8107694,12585315.3,2024-06-03,2024-06-03,10.0,Membership,Bank Transfer
3070094,12516868.3,2024-02-17,2024-02-17,10.0,Membership,Bank Transfer
5325304,12601445.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
3733804,12811257.3,2025-08-21,,10.0,General_Donation,Bank Transfer
6444104,1264035.1,2025-08-08,,10.0,General_Donation,Bank Transfer
5642894,12751778.3,2025-03-20,,10.0,Membership_TopUp,Bank Transfer
998194,12599555.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
9290094,12778909.3,2025-05-21,2025-05-21,10.0,Membership,Bank Transfer
3194804,12744237.3,2025-03-09,2025-03-09,10.0,Membership,Bank Transfer
2103994,12655519.3,2024-11-04,2024-11-07,10.0,Membership,Bank Transfer
1385404,12601131.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
2625104,12784367.3,2025-06-21,,10.0,General_Donation,Bank Transfer
332804,12754249.3,2025-03-24,2025-03-24,10.0,Membership,Bank Transfer
1895404,12689946.3,2024-12-07,2024-12-07,10.0,Membership,Bank Transfer
8224894,12680001.3,2024-12-01,2024-12-01,10.0,Membership,Bank Transfer
2816304,12598255.3,2024-08-12,2024-08-15,10.0,Membership,Bank Transfer
9902994,12676292.3,2024-11-30,2024-11-30,10.0,Membership,Bank Transfer
